Date Time qo_lc[m3/d] qw_lc[m3/d] qg_lc[m3/d] qo_sc[Sm3/d] qw_sc[Sm3/d] qg_sc[Sm3/d] qo_scnp[Sm3/d] qw_scnp[Sm3/d] qg_scnp[Sm3/d] Fo_lc[%] Fw_lc[%] Fg_lc[%] WLR[%] GVF[%] GLR[m3/m3] BSW[%] GOR[Sm3/Sm3] GOR1[Sm3/Sm3] mo_lc[kg/d] mw_lc[kg/d] mg_lc[kg/d] m_lc[kg/d] mo_sc[kg/d] mw_sc[kg/d] mg_sc[kg/d] Mu_o_lc[cP] Mu_l_lc[cP] Do_lc[g/cm3] Dw_lc[g/cm3] Dg_lc[g/cm3] Dm_lc[g/cm3] Dl_lc[g/cm3] bo[Sm3/m3] bw[Sm3/m3] bg[Sm3/m3] Z Rst[Sm3/Sm3] Rwst[Sm3/Sm3] rgmp[Sm3/Sm3] N32[cps] N81[cps] N356[cps] NTotal[cps] DeadTime[s] SampleTime[s] DPV[mbar] PL[bara] TL[DegC] TAMB[DegC] Dyn_DP[mbar] OperatingPointLE[1/m] OperatingPointHE[1/m] OilPointLE[1/m] OilPointHE[1/m] WaterPointLE[1/m] WaterPointHE[1/m] GasPointLE[1/m] GasPointHE[1/m]
07-May-2014 10:13:26 109.28 -0.31289 3810.3 108.43 -0.31487 92700 108.43 -0.31487 91298 4.5019 -0.011115 95.509 -0.26244 97.224 35.412 -0.26620 865.99 853.06 96746 -408.20 69109 1.6347e+005 95413 -408.22 70251 129.35 129.39 0.88434 1.3046 0.018158 0.057010 0.88448 0.99224 1.0063 23.961 0.94349 12.933 0.026735 0.00000 44012 21817 32488 1.1386e+005 0.071011 1.0000 1448.7 21.481 -2.5452 18.105 1449.1 1.5512 1.0006 23.568 14.781 171.01 25.097 0.49280 0.32761
07-May-2014 10:14:26 113.46 -0.43735 3774.0 112.58 -0.44011 91895 112.58 -0.44011 90438 4.6606 -0.022839 95.362 -0.37835 97.094 33.887 -0.38376 828.01 815.07 1.0045e+005 -570.57 68452 1.6650e+005 99065 -570.59 69640 129.17 129.17 0.88433 1.3046 0.018160 0.058234 0.88433 0.99222 1.0063 23.963 0.94350 12.934 0.026767 0.00000 43987 21806 32435 1.1378e+005 0.070965 1.0000 1462.1 21.473 -2.5323 18.143 1462.9 1.5186 0.98577 23.570 14.782 171.01 25.097 0.49042 0.32603
07-May-2014 10:15:26 131.63 -0.53355 3892.5 130.55 -0.53691 95860 130.55 -0.53691 94153 5.5139 0.020216 94.466 -0.42059 96.746 30.346 -0.42670 749.08 736.02 1.1652e+005 -696.06 71246 1.9036e+005 1.1488e+005 -696.08 72645 126.94 126.95 0.88413 1.3046 0.018328 0.066327 0.88414 0.99186 1.0063 24.184 0.94305 13.058 0.027214 0.00000 43662 21723 32337 1.1321e+005 0.070640 1.0000 1592.3 21.672 -2.3931 18.166 1569.8 1.6145 1.0466 23.568 14.781 171.01 25.097 0.49134 0.32665
07-May-2014 10:16:26 140.67 0.16091 4043.1 139.44 0.16191 1.0069e+005 139.44 0.16191 98844 5.6774 -0.033741 94.356 0.11916 96.635 28.744 0.12095 722.91 709.71 1.2448e+005 209.90 74786 2.0194e+005 1.2270e+005 209.91 76302 122.75 122.96 0.88377 1.3045 0.018527 0.067216 0.88449 0.99129 1.0062 24.447 0.94261 13.206 0.028027 0.00000 43719 21714 32341 1.1329e+005 0.070660 1.0000 1703.3 21.926 -2.0451 18.203 1693.8 1.7645 1.1188 23.562 14.777 171.00 25.096 0.49673 0.33023
07-May-2014 10:17:26 150.02 -1.1456 4134.6 148.64 -1.1527 1.0429e+005 148.64 -1.1527 1.0230e+005 5.7413 -0.059873 94.319 -0.77094 96.524 27.984 -0.78307 706.92 693.55 1.3272e+005 -1494.4 77387 2.1019e+005 1.3079e+005 -1494.4 79030 119.48 119.48 0.88347 1.3044 0.018749 0.067628 0.88347 0.99077 1.0062 24.741 0.94206 13.372 0.028722 0.00000 43751 21712 32374 1.1338e+005 0.070729 1.0000 1821.7 22.196 -1.8009 18.246 1811.0 1.7374 1.1454 23.553 14.771 170.99 25.094 0.50210 0.33380
07-May-2014 10:18:26 139.38 -0.84103 4340.2 137.99 -0.84621 1.1115e+005 137.99 -0.84621 1.0926e+005 4.5456 0.038637 95.416 -0.51370 96.912 34.693 -0.52211 889.34 875.71 1.2327e+005 -1097.0 82661 1.9714e+005 1.2142e+005 -1097.1 84229 115.96 115.99 0.88313 1.3044 0.019076 0.058846 0.88323 0.99011 1.0061 25.171 0.94118 13.614 0.029542 0.00000 43874 21797 32425 1.1364e+005 0.070872 1.0000 1951.4 22.580 -1.5763 18.287 1969.4 1.7487 1.1334 23.544 14.766 170.98 25.093 0.50939 0.33865
07-May-2014 10:19:26 73.893 0.33812 3978.7 73.255 0.34020 97026 73.255 0.34020 96070 2.9201 -0.018687 97.099 0.44934 98.172 54.116 0.45602 1336.0 1322.9 65372 441.04 72749 1.3975e+005 64460 441.05 73529 121.54 122.12 0.88369 1.3044 0.018293 0.043323 0.88564 0.99139 1.0062 24.139 0.94346 13.034 0.028132 0.00000 44442 21958 32611 1.1465e+005 0.071452 1.0000 1504.0 21.692 -1.7566 18.329 1525.2 1.4614 0.92129 23.542 14.765 170.98 25.092 0.50804 0.33775
07-May-2014 10:20:26 73.279 -0.066383 3697.0 72.704 -0.066797 88817 72.704 -0.066797 87885 3.0731 -0.0076533 96.935 -0.088595 98.059 50.872 -0.089869 1230.4 1217.5 64856 -86.596 66552 1.3136e+005 63976 -86.599 67308 127.00 127.10 0.88417 1.3045 0.018014 0.044534 0.88450 0.99216 1.0062 23.771 0.94410 12.827 0.027062 0.00000 44388 21944 32612 1.1456e+005 0.071408 1.0000 1335.1 21.341 -2.2030 18.370 1346.1 1.1604 0.74714 23.555 14.773 170.98 25.093 0.49331 0.32796
07-May-2014 10:21:26 72.940 -0.29013 3474.2 72.411 -0.29196 82640 72.411 -0.29196 81722 3.0314 0.033447 96.935 -0.35226 97.958 50.023 -0.35713 1194.2 1181.5 64580 -378.51 61885 1.2423e+005 63718 -378.52 62627 131.83 131.91 0.88456 1.3046 0.017825 0.044529 0.88482 0.99276 1.0063 23.521 0.94448 12.686 0.026192 0.00000 44320 21943 32587 1.1446e+005 0.071346 1.0000 1249.0 21.094 -2.6062 18.402 1251.0 1.1868 0.76772 23.568 14.781 171.00 25.095 0.48498 0.32242
07-May-2014 10:22:26 92.476 -0.55607 3536.2 91.828 -0.55964 84517 91.828 -0.55964 83350 4.3511 -0.084555 95.733 -0.57778 97.468 38.985 -0.58563 932.87 920.15 81902 -725.52 63105 1.4687e+005 80804 -725.54 64049 135.05 135.08 0.88480 1.3047 0.017862 0.054496 0.88489 0.99300 1.0064 23.570 0.94420 12.713 0.025703 0.00000 44196 21845 32494 1.1413e+005 0.071147 1.0000 1282.9 21.103 -2.9648 18.434 1274.0 1.2490 0.81815 23.577 14.787 171.01 25.097 0.48187 0.32035
